0,1,2,3
29071.47121,10733668.56,10.0,2908.1543974667698
29026.43608,4305611.83,10.0,2903.6508844667696
29042.45053,4642549.62,10.0,2905.2523294667694
29054.44015,3417890.46,10.0,2906.45129146677
28997.4186,2526998.83,10.0,2900.74913646677
28981.40043,2349317.45,10.0,2899.14731946677
29010.42018,2564984.86,10.0,2902.04929446677
28964.39038,2019455.75,10.0,2897.4463144667698
28938.37931,1614707.55,10.0,2894.84520746677
29082.45283,2491097.19,10.0,2909.2525594667695
28923.36585,1333554.06,10.0,2893.34386146677
9215.82109,212396.8,5.0,1844.17149446677
28896.35754,1016829.96,10.0,2890.6430304667697
9215.82405,111303.81,4.0,2304.9632889667696
28801.3226,93836.82,9.0,3201.1542320223252
9687.99933,114084.0,5.0,1938.60714246677
12044.27945,136352.08,6.0,2008.3871848001033
6942.68763,137373.07,4.0,1736.67918396677
28800.29415,434990.34,10.0,2881.0366914667698
9687.9946,68933.38,4.0,2423.00592646677
7844.11383,68120.58,5.0,1569.83004246677
5434.83583,154897.19,4.0,1359.71623396677
28848.32492,528677.05,10.0,2885.83976846677
8210.27877,35501.15,5.0,1643.0630304667702
6942.69024,83954.05,5.0,1389.54532446677
5564.8879,49191.14,4.0,1392.22925146677
7039.73949,113564.16,4.0,1760.94214896677
8747.5434,47059.83,4.0,2187.89312646677
5434.83503,52432.95,3.0,1812.6189531334367
27766.8665,67526.06,9.0,3086.214665355659
1262.55996,17009.02,1.0,1263.56723646677
26690.43144,70586.77,8.0,3337.31120646677
7596.02267,58089.88,5.0,1520.21181046677
7124.77032,46327.12,4.0,1782.19985646677
28830.31121,456112.08,10.0,2884.0383974667698
7039.73773,69701.81,5.0,1408.9548224667699
28782.2813,307145.57,10.0,2879.2354064667697
9836.07485,45517.31,5.0,1968.2222464667702
7294.55126,48980.71,5.0,1459.9175284667701
9330.84875,20052.05,5.0,1867.1770264667698
5365.7775,40558.36,4.0,1342.45165146677
6752.33065,27261.93,5.0,1351.47340646677
13696.17367,24105.58,6.0,2283.7028881334363
28652.25674,54974.56,9.0,3184.591358688992
5138.67695,17925.93,4.0,1285.67651396677
1436.82538,29823.45,1.0,1437.83265646677
7104.46324,36488.94,5.0,1421.89992446677
6637.28541,24007.78,5.0,1328.4643584667701
3013.6396,16894.09,3.0,1005.5538098001033
7124.76859,30596.62,5.0,1425.96099446677
5338.79226,18138.22,4.0,1335.70534146677
2159.97709,9406.35,2.0,1080.99582146677
28057.95584,50901.75,9.0,3118.5579253556584
7141.79617,27498.4,4.0,1786.45631896677
28813.30636,52328.67,9.0,3202.485760911214
7242.84192,15364.66,4.0,1811.71775646677
28696.26757,45589.23,9.0,3189.4814509112143
9837.07231,18234.29,4.0,2460.2753539667697
7596.02324,71398.16,4.0,1900.0130864667701
4145.15617,14859.41,4.0,1037.29631896677
28186.03986,54124.57,9.0,3132.7894831334365
7225.81667,25355.64,4.0,1807.46144396677
28340.08344,50022.28,9.0,3149.9054364667695
28212.0361,64281.16,9.0,3135.677954244548
2845.55649,9298.38,3.0,949.52610646677
2887.55471,37007.56,3.0,963.5255131334367
6873.63217,24653.5,4.0,1719.41531896677
5692.97889,29102.08,4.0,1424.25199896677
28439.15151,53820.62,9.0,3160.912999800103
6539.21946,20304.95,5.0,1308.85116846677
28710.25113,146005.93,10.0,2872.03238946677
2449.09239,12497.05,2.0,1225.55347146677
5806.06106,21467.1,4.0,1452.52254146677
28738.26343,188469.89,10.0,2874.8336194667695
27921.90518,41858.07,9.0,3103.441185355659
10536.41292,28077.48,6.0,1757.0760964667702
1663.91507,21978.24,2.0,832.96481146677
7225.81808,19948.99,5.0,1446.17089246677
7040.74163,14657.7,3.0,2347.9211531334367
4636.41912,14730.12,4.0,1160.11205646677
5592.88033,17095.11,4.0,1399.22735896677
3301.72312,13245.47,2.0,1651.86883646677
4849.53003,17347.44,4.0,1213.38978396677
6846.64263,15073.81,4.0,1712.66793396677
28770.30733,50898.7,9.0,3197.708090911214
7425.93107,10161.86,5.0,1486.1934904667698
1276.57459,15642.34,1.0,1277.58186646677
12143.31118,19023.91,6.0,2024.8924731334369
5548.8691,19039.07,4.0,1388.22455146677
5039.60883,15485.36,4.0,1260.90948396677
2786.54526,8274.81,3.0,929.8556964667699
28241.06362,51216.82,9.0,3138.9032342445475
5905.12985,22810.66,4.0,1477.28973896677
1929.06683,4069.87,2.0,965.54069146677
2262.24247,6461.52,2.0,1132.12851146677
8747.54404,45192.15,5.0,1750.51608446677
26660.38912,28168.32,8.0,3333.5559164667698
28463.16729,41333.05,9.0,3163.581419800103
2506.36622,10788.42,3.0,836.4626831334366
9072.3587,12527.73,5.0,1815.4790164667702
11932.21605,22077.65,6.0,1989.7099514667702
4237.21626,16470.52,4.0,1060.31134146677
3144.68895,21437.74,3.0,1049.23692646677
12742.65505,20807.77,6.0,2124.7831181334363
5388.67215,24770.93,4.0,1348.17531396677
28284.07405,45009.41,9.0,3143.682170911214
28141.01867,38533.6,9.0,3127.787128688992
28830.33186,31237.76,9.0,3204.3774831334363
1960.84869,25232.45,2.0,981.43162146677
3917.02303,28023.68,3.0,1306.6816198001034
2352.0422,89338.87,2.0,1177.02837646677
6620.47787,14030.74,4.0,1656.12674396677
7597.02812,12404.32,3.0,2533.3499831334366
1246.51744,8399.67,1.0,1247.52471646677
4090.1477,19978.59,3.0,1364.3898431334367
27940.90658,40685.24,9.0,3105.5524520223253
9216.83223,35247.75,6.0,1537.14598146677
28258.07911,53781.72,9.0,3140.7938442445475
28407.14489,48166.77,9.0,3157.356708688992
2957.61605,44041.09,2.0,1479.81530146677
2791.26956,4771.29,2.0,1396.64205646677
2089.95079,11018.19,2.0,1045.98267146677
10346.03478,17497.39,6.0,1725.34640646677
2673.4606,9649.87,3.0,892.1608098001033
7941.7892,12064.3,5.0,1589.3651164667701
7760.09421,8269.34,5.0,1553.02611846677
1148.51791,12831.28,1.0,1149.52518646677
7338.56624,13373.16,5.0,1468.72052446677
12186.31898,18206.35,6.0,2032.0604398001033
28169.03211,48712.42,9.0,3130.8997331334363
27967.9195,38416.31,9.0,3108.5538875778807
4221.19875,13796.14,4.0,1056.30696396677
1682.73204,12954.21,2.0,842.3732964667701
1891.08783,4069.76,2.0,946.55119146677
27721.82203,36989.09,9.0,3081.2097242445475
5275.59314,15151.47,4.0,1319.90556146677
28596.21465,45768.3,9.0,3178.3644598001033
28482.18444,34251.93,9.0,3165.6944364667697
6760.551,12069.63,4.0,1691.14502646677
7191.49613,22454.26,5.0,1439.30650246677
12629.56472,20119.5,6.0,2105.934729800103
3344.7681,13360.81,2.0,1673.39132646677
27735.83545,41461.33,9.0,3082.7667709112143
2972.60787,2692.41,3.0,991.87656646677
2619.44796,5045.37,2.0,1310.73125646677
28075.96995,41870.59,9.0,3120.5594931334363
28755.30914,49084.8,9.0,3196.0416253556587
27699.79934,39696.23,9.0,3078.762758688992
1637.71042,10893.05,1.0,1638.7176964667701
12440.40955,15630.81,6.0,2074.4088681334365
9618.94556,14229.5,5.0,1924.79638846677
27749.82742,41274.45,9.0,3084.3214342445476
28356.11131,41224.12,9.0,3151.686310911214
9643.9977,8637.26,5.0,1929.80681646677
7844.10711,34001.97,4.0,1962.03405396677
1823.79036,17279.8,2.0,912.90245646677
12230.36124,17756.79,6.0,2039.40081646677
27779.85182,41669.76,9.0,3087.657478688992
4951.57551,17881.14,4.0,1238.90115396677
2716.51462,5800.1,3.0,906.5121498001033
11975.21778,25908.68,6.0,1996.8769064667702
2231.96206,7567.8,1.0,2232.9693364667696
28393.13508,44037.58,9.0,3155.8000631334367
9145.76464,11390.76,4.0,2287.4484364667696
9477.91383,10675.53,5.0,1896.59004246677
2005.869,11682.52,2.0,1003.94177646677
7888.12811,8048.08,5.0,1578.63289846677
12344.39608,17877.39,6.0,2058.4066231334364
9358.83303,9612.36,4.0,2340.7155339667697
12726.64256,18847.52,6.0,2122.1143698001033
4737.48871,16898.34,4.0,1185.37945396677
4090.14775,31178.86,4.0,1023.54421396677
7680.71685,9237.54,5.0,1537.15064646677
28013.92844,35424.03,9.0,3113.665992022325
28380.12739,45251.62,9.0,3154.354764244548
4721.47136,16435.56,4.0,1181.37511646677
12402.41322,13604.5,6.0,2068.07614646677
4865.54543,15234.86,4.0,1217.39363396677
27807.8679,43041.42,9.0,3090.77037646677
4532.40016,16792.02,4.0,1134.10731646677
4365.30646,8561.39,3.0,1456.1094298001033
3719.91773,10388.49,3.0,1240.9798531334368
5434.8385,37962.84,5.0,1087.97497646677
2677.22694,6991.22,2.0,1339.62074646677
4419.32072,15972.49,4.0,1105.83745646677
9330.84081,11592.01,4.0,2333.7174789667697
12256.35967,15899.11,6.0,2043.7338881334367
5564.88773,9249.3,5.0,1113.98482246677
2861.57295,7643.96,3.0,954.86492646677
2375.3261,7969.2,3.0,792.7826431334367
7799.76172,17607.98,5.0,1560.95962046677
27444.6265,19156.7,9.0,3050.410220911214
10536.41074,13045.59,5.0,2108.2894244667696
4791.50222,7398.57,4.0,1198.88283146677
2562.17449,17713.75,2.0,1282.09452146677
7636.69864,14684.69,5.0,1528.34700446677
28509.19831,34912.73,9.0,3168.695977577881
4074.13156,17410.81,4.0,1019.54016646677
9792.06059,24097.87,5.0,1959.4193944667697
3486.80203,20317.77,3.0,1163.2746198001032
28041.95226,38652.72,9.0,3116.7797498001028
3458.81061,23153.62,3.0,1153.94414646677
6404.40486,17183.99,4.0,1602.10849146677
12782.64447,12183.1,6.0,2131.4480214667697
6408.18199,21411.4,5.0,1282.64367446677
8210.28281,22704.31,4.0,2053.57797896677
13027.78805,13665.06,6.0,2172.305284800103
4994.42578,21091.16,4.0,1249.61372146677
28421.14456,42079.19,9.0,3158.912227577881
12613.55504,19159.02,6.0,2103.266449800103
12159.33061,14895.16,6.0,2027.5623781334368
1732.97228,70631.01,2.0,867.49341646677
8861.63264,11556.88,5.0,1773.33380446677
4721.46999,9324.82,3.0,1574.83060646677
27308.50525,19170.87,8.0,3414.5704327167696
2956.61224,86701.86,3.0,986.5446898001034
6967.40749,11597.0,5.0,1394.4887744667699
9026.71179,9954.33,5.0,1806.3496344667699
28301.06427,42086.77,9.0,3145.569973133436
2560.37759,8761.07,3.0,854.4664731334367
6943.698,14114.9,3.0,2315.57327646677
10881.64283,24112.52,6.0,1814.6144148001035
