0,1,2,3
2046.00398,504356.41,3.0,683.0086031334366
873.42937,395085.36,1.0,874.43664646677
629.32079,288642.65,1.0,630.32806646677
1954.04658,301581.04,3.0,652.35613646677
776.37547,200496.15,1.0,777.38274646677
742.40581,195032.37,1.0,743.41308646677
2046.00454,101233.9,2.0,1024.00954646677
705.33757,314959.83,1.0,706.34484646677
2157.10778,127237.19,3.0,720.0432031334366
873.43033,232106.93,2.0,437.72244146677
999.54703,123465.24,2.0,500.78079146677
2139.09882,108163.47,3.0,714.0402164667701
128.09674,159542.11,1.0,129.10401646677002
1283.67746,81311.03,2.0,642.8460064667701
1283.67778,64369.05,1.0,1284.68505646677
2157.10926,52036.8,2.0,1079.56190646677
3432.67097,61476.99,4.0,859.17501896677
2027.9901,76551.56,3.0,677.00397646677
1980.02558,92600.97,3.0,661.0158031334366
1265.66782,90554.12,2.0,633.84118646677
1953.04272,36558.15,2.0,977.52863646677
1128.5914,50141.94,2.0,565.30297646677
1175.50364,26800.42,2.0,588.75909646677
471.23751,32025.56,1.0,472.24478646677
855.41875,20209.17,1.0,856.42602646677
2110.07664,27739.95,3.0,704.3661564667701
690.36394,24151.72,1.0,691.37121646677
1211.64121,24198.48,2.0,606.82788146677
1229.63926,31669.76,2.0,615.82690646677
759.43199,33846.61,1.0,760.43926646677
1046.45867,21395.35,1.0,1047.46594646677
3263.70179,55568.62,4.0,816.93272396677
2170.11693,61551.0,4.0,543.53650896677
