0,1,2,3
6049.86525,7579636.16,10.0,605.99380146677
4711.22936,2657208.91,7.0,674.0400421810558
4610.17967,2809576.49,7.0,659.6043721810557
4798.26066,2229910.1,7.0,686.4730850381985
4885.29614,2581263.15,7.0,698.9067250381986
4849.27159,1432360.35,7.0,693.7603607524843
6031.85134,1215082.13,10.0,604.1924104667701
6067.87306,956017.06,10.0,607.79458246677
5476.60219,609163.69,8.0,685.58255021677
4610.17914,945814.99,6.0,769.37046646677
4711.23065,713666.36,6.0,786.2123848001035
4693.21537,718659.35,7.0,671.4666150381986
2185.03148,711210.84,4.0,547.26514646677
4523.14709,733899.02,7.0,647.1711464667701
6013.83927,406734.51,10.0,602.3912034667701
4762.23568,633645.95,7.0,681.3266593239128
4780.25436,441456.1,7.0,683.90075646677
1099.54355,610488.9,2.0,550.77905146677
4867.28088,505768.35,7.0,696.3331164667701
3453.68643,387457.82,6.0,576.62168146677
3297.69454,347993.78,5.0,660.54618446677
4711.22635,367501.5,8.0,589.91057021677
4067.0813,330938.12,6.0,678.8541598001033
1200.59276,315624.47,3.0,401.2048631334367
1269.61483,406537.21,3.0,424.21221980010336
3010.92484,262076.47,5.0,603.19224446677
4849.26785,319323.92,8.0,607.16575771677
4523.14363,188543.41,6.0,754.8645481334366
1154.58678,281890.61,3.0,385.86953646677006
609.18456,579635.76,1.0,610.19183646677
1287.62449,220335.48,2.0,644.81952146677
4762.23854,169310.17,8.0,596.28709396677
2343.17187,277485.4,4.0,586.80024396677
1182.58152,273252.77,2.0,592.29803646677
5987.82181,256795.06,10.0,599.78945746677
354.06706,321638.81,1.0,355.07433646677003
4591.16335,185931.26,7.0,656.8877550381985
1269.61509,218694.61,2.0,635.81482146677
5639.66799,471679.26,8.0,705.96577521677
4798.2592,183226.68,6.0,800.7171431334367
3466.78763,199480.87,6.0,578.8052148001033
1200.59092,175944.64,2.0,601.30273646677
5863.74372,165246.58,9.0,652.5343564667701
4694.20916,162798.52,8.0,587.78342146677
3967.00646,169458.63,6.0,662.1750198001033
3043.44528,282369.56,5.0,609.69633246677
4798.25124,139379.09,8.0,600.78868146677
2167.0161,156101.2,4.0,542.76130146677
1884.00622,142376.2,4.0,472.00883146677
3394.74298,196606.55,6.0,566.7977731334366
952.47336,169259.23,2.0,477.24395646677
4780.26149,173994.82,8.0,598.53996271677
1356.64316,150082.16,2.0,679.32885646677
1182.58196,157598.98,3.0,395.20126313343667
4359.08828,144131.2,7.0,623.7341736096272
2028.96422,368952.83,3.0,677.3286831334367
2070.07176,174269.98,4.0,518.52521646677
3453.68535,140447.68,5.0,691.74434646677
4154.11231,142886.02,7.0,594.4518921810558
5439.5607,240229.29,8.0,680.95236396677
1773.37148,134070.54,3.0,592.1311031334367
5457.57446,186540.58,8.0,683.20408396677
4832.23901,129259.04,7.0,691.3271350381987
4949.32703,105735.85,7.0,708.0539950381987
5388.56803,163872.91,8.0,674.57828021677
2087.97781,182713.28,3.0,696.9998798001033
4884.29189,144888.34,8.0,611.5437627167701
3646.88429,150219.75,6.0,608.8213248001033
3238.55835,81440.12,5.0,648.7189464667699
4867.28975,255307.62,8.0,609.41849521677
1746.94643,63513.21,3.0,583.3227531334367
1374.65525,132791.67,2.0,688.33490146677
2543.24965,88366.94,4.0,636.8196889667701
2286.14599,78206.15,4.0,572.54377396677
1826.96628,135464.92,3.0,609.9960364667701
1218.5698,146807.72,2.0,610.29217646677
6067.8753,107985.79,9.0,675.2156431334366
581.28812,137594.05,2.0,291.65133646677003
5602.63596,107659.28,8.0,701.33677146677
1251.60421,112774.33,3.0,418.2086798001033
4611.18622,101715.71,8.0,577.40555396677
2658.28367,77942.94,4.0,665.57819396677
2677.26748,112734.55,4.0,670.32414646677
3671.67757,83197.4,5.0,735.34279046677
119.07508,75827.66,1.0,120.08235646677
3728.80175,90339.72,5.0,746.76762646677
3916.88129,99755.94,6.0,653.8208248001033
2139.02269,67495.08,4.0,535.76294896677
2984.41071,43497.44,5.0,597.88941846677
535.7744,58949.09,1.0,536.78167646677
3729.80799,58984.72,6.0,622.6419414667699
1251.60093,55689.55,2.0,626.80774146677
1457.69738,89757.09,3.0,486.9064031334367
4360.07639,65616.89,6.0,727.6866748001033
1338.64953,136858.83,3.0,447.22378646677
3659.92909,60866.8,6.0,610.9954581334367
4300.05055,39612.3,8.0,538.51359521677
563.31383,41569.12,1.0,564.3211064667701
1884.00618,59787.04,3.0,629.00933646677
3583.73163,52427.69,6.0,598.2958814667701
238.09059,33276.59,1.0,239.09786646677
3628.05118,72606.09,6.0,605.6824731334367
4506.1333,48862.05,7.0,644.7406050381986
2623.36263,58829.21,4.0,656.84793396677
4314.08131,59268.69,8.0,540.26744021677
4202.7799,224520.79,7.0,601.4044050381987
824.41258,31511.11,1.0,825.41985646677
563.27738,24223.21,2.0,282.64596646677
3582.73137,85118.63,5.0,717.55355046677
2861.35239,40897.65,5.0,573.27775446677
804.73705,28002.99,1.0,805.74432646677
873.43021,47708.96,2.0,437.72238146677
428.20803,32747.54,1.0,429.21530646677
1943.91502,36447.47,3.0,648.9789498001034
1356.6498,71955.51,3.0,453.22387646677
749.06639,17374.21,1.0,750.07366646677
2689.41102,27084.56,5.0,538.88948046677
2849.47874,42459.2,4.0,713.37696146677
1411.69012,34462.43,3.0,471.57064980010335
1971.95152,46555.99,3.0,658.3244498001034
2359.11986,21244.56,4.0,590.78724146677
413.87352,20252.2,1.0,414.88079646677
1617.90084,51952.92,3.0,540.30755646677
581.27287,21081.77,1.0,582.28014646677
2645.53895,51581.31,4.0,662.39201396677
609.28379,29006.23,2.0,305.64917146677
2525.24892,73243.0,4.0,632.31950646677
5883.78646,59297.31,9.0,654.7613275778812
3898.82088,83347.13,6.0,650.81075646677
4275.58749,45172.04,6.0,713.60519146677
3378.64649,40287.03,6.0,564.1150248001034
1411.42356,38876.34,2.0,706.71905646677
1223.6083,24705.92,3.0,408.87670980010336
