0,1,2,3
658.34416,2291978.3,1.0,659.35143646677
1144.60149,1757100.03,1.0,1145.60876646677
172.08707,2524411.51,1.0,173.09434646677002
1057.56841,829745.13,1.0,1058.57568646677
1126.59128,726686.73,2.0,564.3029164667701
1144.60166,728737.79,2.0,573.30810646677
1298.67771,766881.88,2.0,650.34613146677
1126.5905,600767.9,1.0,1127.59777646677
300.12605,841478.29,1.0,301.13332646677003
1016.56236,619019.5,1.0,1017.56963646677
259.12001,996179.81,1.0,260.12728646677
272.13072,461732.88,1.0,273.13799646677
1039.55779,283878.25,1.0,1040.56506646677
844.47576,279528.52,1.0,845.48303646677
109.06553,385740.91,1.0,110.07280646676999
1241.6561,187828.44,2.0,621.83532646677
1179.62737,261063.55,1.0,1180.63464646677
944.48314,307130.09,1.0,945.4904164667701
1031.51657,241091.3,2.0,516.76556146677
1013.50547,233301.41,2.0,507.76001146677
857.45006,240520.57,1.0,858.45733646677
1057.56845,206738.48,2.0,529.79150146677
926.47318,182891.46,2.0,464.24386646677
529.23516,236214.05,1.0,530.24243646677
744.36443,160899.87,1.0,745.37170646677
926.47167,167676.97,1.0,927.47894646677
546.26183,115392.58,1.0,547.26910646677
944.48465,152497.19,2.0,473.24960146677
1280.66513,134630.79,2.0,641.33984146677
1223.64353,85686.58,2.0,612.82904146677
787.4536,77989.46,1.0,788.4608764667701
200.11868,89319.38,1.0,201.12595646677002
1108.57927,91614.06,1.0,1109.58654646677
826.46483,107254.87,1.0,827.47210646677
891.43595,86754.05,2.0,446.72525146677003
184.08719,132595.43,1.0,185.09446646677
615.36693,102042.33,1.0,616.37420646677
989.52904,69163.76,1.0,990.53631646677
497.74748,153432.15,1.0,498.75475646677
511.22454,74361.21,1.0,512.2318164667699
401.17504,100161.77,1.0,402.18231646677003
1314.66391,316507.5,2.0,658.33923146677
704.61418,121924.53,1.0,705.62145646677
757.44255,124504.28,1.0,758.44982646677
857.45078,55355.37,2.0,429.73266646677
813.3875,33502.93,1.0,814.39477646677
978.46909,54638.1,2.0,490.24182146677003
744.36466,29180.41,2.0,373.18960646677
681.31664,42355.59,1.0,682.32391646677
795.37619,34162.78,2.0,398.69537146677
1081.57334,77832.43,2.0,541.79394646677
813.38694,47422.81,2.0,407.70074646677
