0,1,2,3
2320.30676,14030.59,3.0,774.4428631334366
2417.35862,120056.76,4.0,605.34693146677
2417.35855,12708.65,5.0,484.47898646677
2417.3576,6973.17,3.0,806.7931431334366
1341.68889,58343.66,3.0,448.23690646677
2223.25317,4957.75,3.0,742.09166646677
1551.85581,4218.44,2.0,776.93518146677
2320.30565,15977.72,4.0,581.08368896677
1679.95224,1232.16,2.0,840.98339646677
1061.59087,586.99,1.0,1062.59814646677
1033.5687,43176.98,2.0,517.79162646677
2530.4431,6897.17,4.0,633.61805146677
1909.09447,9772.5,4.0,478.28089396677
2095.15769,8518.29,4.0,524.79669896677
1665.92282,1628.2,2.0,833.96868646677
1033.56816,611.25,1.0,1034.57543646677
2095.15789,14323.16,3.0,699.3932398001033
1383.79001,12990.08,2.0,692.90228146677
2346.32324,2192.31,4.0,587.58808646677
1423.75962,6897.84,2.0,712.88708646677
1877.94795,5584.13,3.0,626.98992646677
1323.67837,9869.05,3.0,442.23339980010337
1369.68381,13534.07,2.0,685.84918146677
2965.57266,1218.91,5.0,594.12180846677
2753.47611,3188.23,5.0,551.7024984667701
2364.2859,1745.76,5.0,473.86445646677
2399.35325,5098.25,4.0,600.84558896677
1256.5997,7280.5,2.0,629.30712646677
822.4727,591.73,1.0,823.47997646677
2399.34479,1796.11,5.0,480.87623446677003
2363.28417,2435.55,4.0,591.82831896677
1228.6047,5627.71,3.0,410.54217646677006
1341.68918,5710.27,2.0,671.85186646677
992.48832,28849.31,2.0,497.25143646677003
1438.74203,13016.06,3.0,480.5879531334367
3697.99377,2265.77,6.0,617.33957146677
1535.79488,2386.95,3.0,512.9389031334366
2735.4692,1915.96,5.0,548.10111646677
3034.60969,610.2,4.0,759.65969896677
2794.55736,2694.05,4.0,699.64661646677
1679.95016,3371.69,3.0,560.9906631334367
3727.99488,1561.42,6.0,622.33975646677
3105.72444,4773.7,6.0,518.62801646677
865.50334,375.01,1.0,866.51061646677
1466.73642,1354.26,2.0,734.37548646677
1228.60495,3126.58,2.0,615.30975146677
2207.23095,856.19,4.0,552.81501396677
1563.78933,2874.46,3.0,522.27038646677
1184.57735,533.05,3.0,395.8663931334367
737.40801,840.1,1.0,738.41528646677
3337.83197,1031.01,6.0,557.3126048001034
2735.46229,666.54,4.0,684.87284896677
3052.68798,1449.34,5.0,611.54487246677
2753.47289,1761.2,4.0,689.37549896677
1369.68426,5610.96,3.0,457.56869646677
2223.25316,2330.09,4.0,556.8205664667701
1268.76293,664.1,3.0,423.9282531334367
1148.59604,3204.92,2.0,575.30529646677
1105.57224,2159.54,2.0,553.79339646677
1286.73679,3198.54,2.0,644.37567146677
1466.73711,3541.73,3.0,489.91964646677
1692.8893,1979.2,3.0,565.3037098001033
3035.59814,1576.13,5.0,608.12690446677
