0,1,2,3
2753.47095,15422.5,3.0,918.8309264667699
2735.45739,3125.67,3.0,912.82640646677
1369.68003,1063.48,2.0,685.84729146677
1679.94651,758.28,2.0,840.98053146677
1033.56597,624.87,1.0,1034.5732464667701
1033.56797,6947.19,2.0,517.79126146677
2752.4681,808.76,4.0,689.12430146677
2107.08888,1895.88,3.0,703.3702364667699
2638.44372,759.26,3.0,880.4885164667701
1016.54105,452.51,2.0,509.27780146677003
1341.68747,335.05,2.0,671.85101146677
2234.18161,1118.46,3.0,745.7344798001034
1272.39634,482.49,2.0,637.20544646677
775.92592,383.41,1.0,776.93319646677
2964.56541,1091.95,4.0,742.14862896677
2456.24115,744.17,3.0,819.75432646677
1355.28354,382.59,2.0,678.64904646677
871.7086,437.7,1.0,872.71587646677
3145.02277,839.07,4.0,787.26296896677
2419.71491,673.21,3.0,807.5789131334367
1476.5112,429.75,2.0,739.26287646677
744.19933,508.84,1.0,745.20660646677
819.304,486.84,1.0,820.31127646677
