Mass,Intensity,Charge,mz
3859.0684950320697,41453.24,2.0,1930.03816003207
7625.99347503207,96396.3,5.0,1526.00495503207
5456.89550503207,95120.49,4.0,1364.97974503207
5194.78757503207,96823.71,3.0,1732.2677416987367
4731.51761503207,79983.92,4.0,1183.63527253207
2124.1634350320696,45639.56,2.0,1062.58563003207
3999.1389350320696,20713.88,2.0,2000.07338003207
6640.457915032071,70568.74,5.0,1328.89784303207
4395.3024250320705,92218.19,3.0,1465.7726916987367
4165.24976503207,32194.91,2.0,2083.12879503207
6457.3696750320705,71143.61,5.0,1292.2801950320702
1947.11886503207,26272.98,2.0,974.06334503207
3972.15289503207,290556.27,3.0,1324.7228483654035
6392.399405032071,59296.86,4.0,1598.8557200320702
3825.05640503207,81332.19,3.0,1275.6906850320702
1690.96919503207,34895.15,2.0,845.9885100320699
6911.5692350320705,107443.26,5.0,1383.12010703207
2518.36264503207,70009.65,2.0,1259.68523503207
7941.228615032071,57380.91,5.0,1589.0519830320702
6042.18791503207,91264.54,4.0,1511.30284753207
3494.82880503207,151175.17,3.0,1165.6148183654034
3588.9261050320697,33330.59,2.0,1794.96696503207
3801.04251503207,63863.51,2.0,1901.02517003207
8024.284165032071,71099.72,5.0,1605.66309303207
2989.61420503207,120422.64,2.0,1495.3110150320701
7082.72492503207,52924.8,4.0,1771.43710003207
5088.66480503207,52456.88,4.0,1272.92207003207
3338.7782450320697,48747.46,3.0,1113.59796503207
7211.77389503207,65294.15,4.0,1803.69934253207
5322.87973503207,67832.05,4.0,1331.47580253207
2326.22077503207,48186.01,2.0,1163.61430003207
5500.90810503207,81999.45,4.0,1375.98289503207
5216.723065032071,86953.38,4.0,1304.9366350320702
7711.08486503207,73010.95,5.0,1543.02323303207
3717.0187050320696,23795.47,2.0,1859.01326503207
4280.276315032071,21486.01,2.0,2140.64207003207
4152.22250503207,90281.24,3.0,1384.7460516987367
7696.08116503207,65026.61,5.0,1540.02249303207
