0,1,2,3
6067.89257,1344400.35,7.0,867.8490721810557
4347.16838,7250105.72,5.0,870.44095246677
5900.77975,1185374.17,6.0,984.4705681334366
1739.26865,4047932.99,2.0,870.64160146677
869.83824,5126405.47,1.0,870.84551646677
4885.3038,293833.03,5.0,978.06803646677
4986.35265,256248.18,5.0,998.27780646677
6049.87987,210795.11,7.0,865.2758293239128
5133.42598,197825.89,5.0,1027.69247246677
1884.01039,229787.03,3.0,629.0107398001034
5813.74534,237340.16,6.0,969.9648331334367
4330.14598,250306.61,5.0,867.0364724667701
4798.27399,125890.7,5.0,960.6620744667699
3238.56127,123051.7,4.0,810.64759396677
3473.73567,146073.04,4.0,869.44119396677
2343.17536,147303.98,3.0,782.0657298001034
5882.76841,120810.8,6.0,981.4686781334366
5639.66957,81198.04,6.0,940.9522048001033
3225.53098,129968.85,4.0,807.39002146677
1200.59507,103746.53,2.0,601.30481146677
5244.47461,87070.38,6.0,875.0863781334367
5726.71753,91278.62,6.0,955.4601981334366
6012.86757,70472.02,7.0,859.9883578953414
2414.21313,102169.47,3.0,805.74498646677
5981.79864,94510.5,7.0,855.5499393239129
2543.25909,97704.52,3.0,848.76030646677
1099.54636,96937.75,2.0,550.78045646677
128.09706,158274.83,1.0,129.10433646677
2070.07666,83154.97,3.0,691.0328298001034
4610.18898,72478.85,5.0,923.04507246677
5900.78038,77887.94,7.0,843.9759021810557
2860.36883,77880.75,3.0,954.4635531334367
185.11926,154517.08,1.0,186.12653646677
4137.13774,85474.58,5.0,828.43482446677
4711.24046,91579.5,5.0,943.25536846677
4201.89255,76774.09,4.0,1051.48041396677
3453.69298,49868.58,5.0,691.7458724667699
4467.99754,56681.5,5.0,894.60678446677
4241.10805,83036.78,5.0,849.22888646677
5261.48884,78916.39,5.0,1053.30504446677
1617.90427,64952.96,2.0,809.95941146677
2729.32281,71429.57,3.0,910.78154646677
3356.56893,88048.21,4.0,840.14950896677
952.47629,55810.98,2.0,477.24542146677
3717.83524,36353.97,4.0,930.46608646677
873.43253,57035.4,2.0,437.72354146677003
5476.61345,59662.83,6.0,913.7761848001034
1287.62766,44750.48,2.0,644.8211064667701
4986.34062,50683.96,6.0,832.06404646677
824.41405,53901.69,1.0,825.42132646677
5870.74844,39620.3,7.0,839.6856250381986
2028.06789,30131.24,3.0,677.0299064667701
3742.72391,44265.62,4.0,936.68825396677
3671.69315,47370.49,4.0,918.93056396677
2168.0075,34988.87,3.0,723.6764431334367
2286.15595,48873.16,3.0,763.0592598001033
3151.52733,24974.27,4.0,788.88910896677
4202.09896,38259.08,5.0,841.42706846677
3917.88634,30789.22,5.0,784.58454446677
4886.30614,24210.84,6.0,815.3916331334366
3218.56927,23526.83,3.0,1073.8636998001034
1771.32163,32212.46,2.0,886.66809146677
5796.73815,21911.86,6.0,967.13030146677
1182.58432,24232.51,2.0,592.29943646677
1746.95028,23640.51,3.0,583.32403646677
2199.12024,23018.29,3.0,734.0473564667701
5994.83009,31310.96,7.0,857.4115750381986
3473.72427,43195.84,3.0,1158.9153664667701
3428.61213,42725.62,4.0,858.16030896677
2987.45907,32680.61,4.0,747.87204396677
3917.88916,29894.55,4.0,980.47956646677
1475.70981,21153.29,2.0,738.86218146677
1374.66172,29621.51,2.0,688.33813646677
2631.21249,26053.19,3.0,878.07810646677
3238.56622,26996.23,3.0,1080.5293498001033
1710.80918,14275.35,2.0,856.41186646677
1617.90523,29176.36,3.0,540.3090198001033
1754.16123,28207.9,2.0,878.08789146677
1999.03761,31871.52,3.0,667.35314646677
5049.49774,30110.38,6.0,842.5902331334366
3454.6965,46554.05,4.0,864.68140146677
1071.55075,29007.56,2.0,536.7826514667701
4015.833,20460.66,4.0,1004.96552646677
5688.67519,12303.08,6.0,949.1198081334367
3016.47101,13279.66,3.0,1006.4976131334367
467.35109,35144.39,1.0,468.35836646677
1128.59433,16479.49,2.0,565.30444146677
2658.26928,51768.68,3.0,887.09703646677
