0,1,2,3
2038.10938,374500.96,3.0,680.3770698001034
589.30412,701415.82,1.0,590.31139646677
364.19042,688574.54,1.0,365.19769646677
346.17964,748977.85,1.0,347.18691646677
1969.08796,390624.09,3.0,657.3699298001034
1604.89975,379414.94,2.0,803.45715146677
225.11415,617498.54,1.0,226.12142646677
1741.95827,437355.5,3.0,581.6600331334367
1841.02911,220875.5,3.0,614.68364646677
2087.10489,271463.87,3.0,696.70890646677
2073.14972,254221.51,3.0,692.0571831334366
2268.20385,155099.24,4.0,568.05823896677
814.41759,285240.32,1.0,815.42486646677
1379.78293,201360.18,2.0,690.89874146677
208.13498,291245.65,1.0,209.14225646677002
109.06552,344597.07,1.0,110.07279646677
2055.12259,263056.93,3.0,686.0481398001033
2188.15257,251763.05,3.0,730.3914664667701
1471.79721,139235.54,2.0,736.90588146677
478.27114,263422.93,1.0,479.27841646677
929.5183,116416.58,1.0,930.52557646677
1819.99464,127002.24,2.0,911.00459646677
1741.95835,139043.12,2.0,871.9864514667701
1713.96218,189645.75,3.0,572.3280031334367
1801.9722,109258.52,2.0,901.99337646677
1154.66892,108602.22,2.0,578.34173646677
128.09671,195097.86,1.0,129.10398646677
1715.93784,105718.1,2.0,858.97619646677
1251.72409,74305.95,2.0,626.86932146677
1696.91318,145451.81,2.0,849.46386646677
1488.81394,184217.81,2.0,745.41424646677
1154.66777,66876.67,1.0,1155.67504646677
2285.23104,84349.75,4.0,572.31503646677
1026.60893,79121.26,1.0,1027.61620646677
2165.16604,69752.0,3.0,722.7292898001034
1587.87534,99825.17,2.0,794.94494646677
416.22254,100334.93,2.0,209.11854646677
589.30454,118404.25,2.0,295.65954646677
1448.80405,60429.08,2.0,725.40930146677
702.38945,102082.99,1.0,703.39672646677
239.13561,171069.42,1.0,240.14288646677002
1246.64604,55796.58,1.0,1247.65331646677
1678.89634,82137.21,2.0,840.45544646677
1350.75742,77512.87,2.0,676.38598646677
1841.02626,75435.01,2.0,921.52040646677
1952.06428,50421.77,3.0,651.6953698001033
790.47899,68962.34,1.0,791.48626646677
1857.05248,70394.63,3.0,620.0247698001034
1930.02835,45710.4,2.0,966.02145146677
299.11547,68190.04,1.0,300.12274646677
461.24422,46384.1,1.0,462.25149646677
1426.82029,55999.9,2.0,714.4174214667701
1784.95657,79252.64,2.0,893.48556146677
1039.56682,48276.52,1.0,1040.57409646677
1409.79453,45388.07,2.0,705.90454146677
998.54259,55025.08,1.0,999.54986646677
1264.68125,55751.38,2.0,633.34790146677
1228.63376,29522.59,2.0,615.32415646677
2251.17942,68210.84,4.0,563.80213146677
163.11312,33703.49,1.0,164.12039646677002
549.33367,26484.39,1.0,550.34094646677
1263.67229,35617.72,1.0,1264.67956646677
1824.00983,31186.05,3.0,609.0105531334367
929.52012,47122.74,2.0,465.76733646677
641.3367,33567.14,2.0,321.67562646677
1201.6707,22763.44,1.0,1202.67797646677
1505.82749,34578.18,2.0,753.92102146677
1184.6428,33487.92,2.0,593.32867646677
1033.5803,25588.89,2.0,517.79742646677
1761.29073,24467.39,3.0,588.10418646677
378.20626,17091.74,1.0,379.21353646677
2011.09856,32713.09,3.0,671.3734631334366
513.30492,22531.75,1.0,514.31219646677
433.20128,15212.53,1.0,434.20855646677
746.4074,59832.43,1.0,747.4146764667701
461.24442,34829.69,2.0,231.62948646677
1695.98763,61463.96,3.0,566.33648646677
900.52927,54150.22,2.0,451.27191146677
562.79582,5314.62,1.0,563.8030964667701
1548.89389,34250.55,2.0,775.45422146677
703.38578,36812.63,2.0,352.70016646677
572.27756,20172.59,2.0,287.14605646677
2017.98487,23326.18,4.0,505.50349396677
686.35849,27831.57,2.0,344.18652146677
1124.66123,25904.15,2.0,563.33789146677
1661.87583,36900.26,2.0,831.94519146677
767.74748,24259.51,1.0,768.75475646677
1016.55283,20743.71,2.0,509.28369146677
1126.60259,42653.57,1.0,1127.60986646677
826.46819,24435.59,1.0,827.4754664667701
814.41837,22583.54,2.0,408.21646146677
1229.62566,17555.66,1.0,1230.63293646677
1184.6436,28749.98,1.0,1185.6508764667701
998.5427,20055.45,2.0,500.27862646677
1379.78463,26371.67,3.0,460.93548646677004
1440.82512,32503.74,3.0,481.28231646677
2301.24428,71671.83,4.0,576.31834646677
1351.75102,18421.13,1.0,1352.75829646677
846.96929,52467.38,1.0,847.97656646677
