0,1,2,3
3733.15775,1350516.99,4.0,934.2972625320699
3494.03326,136850.02,4.0,874.51614003207
1910.84327,36169.97,2.0,956.42946003207
3138.67449,39672.69,3.0,1047.23265503207
3804.19216,31251.65,4.0,952.05586503207
3733.16134,53454.56,5.0,747.64009303207
1853.82608,14655.84,2.0,927.92086503207
3718.13285,20181.99,4.0,930.5410375320699
3494.02919,7716.68,3.0,1165.6842216987368
3636.10772,13003.35,4.0,910.0347550320699
3905.2422,14182.86,4.0,977.31837503207
3804.19862,9946.82,5.0,761.84754903207
3924.8239,63213.33,5.0,785.97260503207
3853.78601,39053.68,5.0,771.76502703207
3565.0689,27689.85,4.0,892.27505003207
3853.78077,22080.81,4.0,964.4530175320699
2952.61169,7190.86,3.0,985.2117216987367
4038.86382,19017.63,5.0,808.78058903207
1739.78159,6014.27,2.0,870.89862003207
1796.80386,8130.46,2.0,899.4097550320699
3782.74173,11373.62,4.0,946.69325753207
1383.79216,1004.23,1.0,1384.79998503207
2077.08339,2191.43,2.0,1039.54952003207
3254.90399,10323.43,3.0,1085.9758216987366
3120.66314,9374.02,3.0,1041.2288716987368
1551.85752,2222.58,2.0,776.93658503207
3924.82154,3910.69,4.0,982.2132100320699
751.43675,5550.35,1.0,752.4445750320699
1981.88428,5155.69,3.0,661.6359183654033
2052.9206,1321.99,3.0,685.3146916987366
4024.84667,2189.85,4.0,1007.2194925320699
2564.38987,2229.12,4.0,642.1052925320699
3689.09939,4936.89,4.0,923.2826725320699
1033.5706,2634.47,1.0,1034.57842503207
3905.24353,5772.58,5.0,782.05653103207
2263.15054,2293.72,2.0,1132.58309503207
1873.99727,3061.24,3.0,625.6735816987366
3981.84447,34438.03,5.0,797.3767190320699
669.2993,4721.51,1.0,670.30712503207
3023.64947,2687.11,3.0,1008.8909816987366
1033.57029,11661.32,2.0,517.79297003207
3065.59967,1766.81,5.0,614.12775903207
1910.84613,1080.39,3.0,637.95653503207
1348.77341,527.66,2.0,675.39453003207
3825.79225,2745.82,5.0,766.16627503207
1691.99502,1148.11,3.0,565.0061650320699
1726.92898,3723.57,3.0,576.6508183654032
1439.67197,587.8,2.0,720.84381003207
3046.58737,1575.92,5.0,610.32529903207
1383.79099,525.39,2.0,692.9033200320699
3420.81298,1511.96,3.0,1141.2788183654034
1754.88242,5736.42,2.0,878.4490350320699
1016.54386,679.49,2.0,509.27975503207
1423.76267,1412.98,2.0,712.88916003207
863.44383,2253.5,1.0,864.45165503207
412.16078,28791.09,1.0,413.16860503207
1054.97063,606.71,1.0,1055.97845503207
1067.63474,403.39,2.0,534.8251950320699
1348.77306,1044.23,3.0,450.59884503207
430.17137,14761.18,1.0,431.17919503207
341.12346,15816.07,1.0,342.13128503207
609.91899,578.8,1.0,610.92681503207
1476.07395,395.89,2.0,739.0448000320699
359.13402,1962.4,1.0,360.14184503207
930.51868,665.09,4.0,233.63749503207
841.88243,1420.36,1.0,842.89025503207
970.48271,3188.2,1.0,971.4905350320699
886.24327,2088.31,1.0,887.25109503207
985.54106,914.8,1.0,986.54888503207
